+-----------+-----------------+
| Time (ms) |   Signal Name   |
+-----------+-----------------+
|     0     | Network Timeout |
|     1     |   Power State   |
|     2     |  Engine Status  |
|     3     |   GPS Position  |
|     5     | Network Timeout |
|     8     |   Power State   |
|     10    | Network Timeout |
|     11    |  Engine Status  |
|     15    | Network Timeout |
|     16    |   Power State   |
|     20    | Network Timeout |
|     21    |  Engine Status  |
|     24    |   Power State   |
|     25    | Network Timeout |
|     30    | Network Timeout |
|     31    |  Engine Status  |
|     32    |   Power State   |
|     35    | Network Timeout |
|     40    | Network Timeout |
|     41    |   Power State   |
|     42    |  Engine Status  |
|     45    | Network Timeout |
|     48    |   Power State   |
|     50    | Network Timeout |
|     51    |  Engine Status  |
|     55    | Network Timeout |
|     56    |   Power State   |
|     60    | Network Timeout |
|     61    |  Engine Status  |
|     64    |   Power State   |
|     65    | Network Timeout |
|     70    | Network Timeout |
|     71    |  Engine Status  |
|     72    |   Power State   |
|     75    | Network Timeout |
|     80    | Network Timeout |
|     81    |   Power State   |
|     82    |  Engine Status  |
|     85    | Network Timeout |
|     88    |   Power State   |
|     90    | Network Timeout |
|     91    |  Engine Status  |
|     95    | Network Timeout |
|     96    |   Power State   |
|    100    | Network Timeout |
|    101    |  Engine Status  |
|    104    |   Power State   |
|    105    | Network Timeout |
|    110    | Network Timeout |
|    111    |  Engine Status  |
|    112    |   Power State   |
|    115    | Network Timeout |
|    120    | Network Timeout |
|    121    |   Power State   |
|    122    |  Engine Status  |
|    125    | Network Timeout |
|    128    |   Power State   |
|    130    | Network Timeout |
|    131    |  Engine Status  |
|    135    | Network Timeout |
|    136    |   Power State   |
|    140    | Network Timeout |
|    141    |  Engine Status  |
|    144    |   Power State   |
|    145    | Network Timeout |
|    150    | Network Timeout |
|    151    |  Engine Status  |
|    152    |   Power State   |
|    155    | Network Timeout |
|    160    | Network Timeout |
|    161    |   Power State   |
|    162    |  Engine Status  |
|    165    | Network Timeout |
|    168    |   Power State   |
|    170    | Network Timeout |
|    171    |  Engine Status  |
|    175    | Network Timeout |
|    176    |   Power State   |
|    180    | Network Timeout |
|    181    |  Engine Status  |
|    184    |   Power State   |
|    185    | Network Timeout |
|    190    | Network Timeout |
|    191    |  Engine Status  |
|    192    |   Power State   |
|    195    | Network Timeout |
|    200    | Network Timeout |
|    201    |   Power State   |
|    202    |  Engine Status  |
|    205    | Network Timeout |
|    208    |   Power State   |
|    210    | Network Timeout |
|    211    |  Engine Status  |
|    215    | Network Timeout |
|    216    |   Power State   |
|    220    | Network Timeout |
|    221    |  Engine Status  |
|    224    |   Power State   |
|    225    | Network Timeout |
|    230    | Network Timeout |
|    231    |  Engine Status  |
|    232    |   Power State   |
|    235    | Network Timeout |
|    240    | Network Timeout |
|    241    |   Power State   |
|    242    |  Engine Status  |
|    245    | Network Timeout |
|    248    |   Power State   |
|    250    | Network Timeout |
|    251    |  Engine Status  |
|    255    | Network Timeout |
|    256    |   Power State   |
|    260    | Network Timeout |
|    261    |  Engine Status  |
|    264    |   Power State   |
|    265    | Network Timeout |
|    270    | Network Timeout |
|    271    |  Engine Status  |
|    272    |   Power State   |
|    275    | Network Timeout |
|    280    | Network Timeout |
|    281    |   Power State   |
|    282    |  Engine Status  |
|    285    | Network Timeout |
|    288    |   Power State   |
|    290    | Network Timeout |
|    291    |  Engine Status  |
|    295    | Network Timeout |
|    296    |   Power State   |
|    300    | Network Timeout |
|    301    |  Engine Status  |
|    304    |   Power State   |
|    305    | Network Timeout |
|    310    | Network Timeout |
|    311    |  Engine Status  |
|    312    |   Power State   |
|    315    | Network Timeout |
|    320    | Network Timeout |
|    321    |   Power State   |
|    322    |  Engine Status  |
|    325    | Network Timeout |
|    328    |   Power State   |
|    330    | Network Timeout |
|    331    |  Engine Status  |
|    335    | Network Timeout |
|    336    |   Power State   |
|    340    | Network Timeout |
|    341    |  Engine Status  |
|    344    |   Power State   |
|    345    | Network Timeout |
|    350    | Network Timeout |
|    351    |  Engine Status  |
|    352    |   Power State   |
|    355    | Network Timeout |
|    360    | Network Timeout |
|    361    |   Power State   |
|    362    |  Engine Status  |
|    365    | Network Timeout |
|    368    |   Power State   |
|    370    | Network Timeout |
|    371    |  Engine Status  |
|    375    | Network Timeout |
|    376    |   Power State   |
|    380    | Network Timeout |
|    381    |  Engine Status  |
|    384    |   Power State   |
|    385    | Network Timeout |
|    390    | Network Timeout |
|    391    |  Engine Status  |
|    392    |   Power State   |
|    395    | Network Timeout |
|    400    | Network Timeout |
|    401    |   Power State   |
|    402    |  Engine Status  |
|    405    | Network Timeout |
|    408    |   Power State   |
|    410    | Network Timeout |
|    411    |  Engine Status  |
|    415    | Network Timeout |
|    416    |   Power State   |
|    420    | Network Timeout |
|    421    |  Engine Status  |
|    424    |   Power State   |
|    425    | Network Timeout |
|    430    | Network Timeout |
|    431    |  Engine Status  |
|    432    |   Power State   |
|    435    | Network Timeout |
|    440    | Network Timeout |
|    441    |   Power State   |
|    442    |  Engine Status  |
|    445    | Network Timeout |
|    448    |   Power State   |
|    450    | Network Timeout |
|    451    |  Engine Status  |
|    455    | Network Timeout |
|    456    |   Power State   |
|    460    | Network Timeout |
|    461    |  Engine Status  |
|    464    |   Power State   |
|    465    | Network Timeout |
|    470    | Network Timeout |
|    471    |  Engine Status  |
|    472    |   Power State   |
|    475    | Network Timeout |
|    480    | Network Timeout |
|    481    |   Power State   |
|    482    |  Engine Status  |
|    485    | Network Timeout |
|    488    |   Power State   |
|    490    | Network Timeout |
|    491    |  Engine Status  |
|    495    | Network Timeout |
|    496    |   Power State   |
|    500    | Network Timeout |
|    501    |  Engine Status  |
|    504    |   Power State   |
|    505    | Network Timeout |
|    510    | Network Timeout |
|    511    |  Engine Status  |
|    512    |   Power State   |
|    515    | Network Timeout |
|    520    | Network Timeout |
|    521    |   Power State   |
|    522    |  Engine Status  |
|    525    | Network Timeout |
|    528    |   Power State   |
|    530    | Network Timeout |
|    531    |  Engine Status  |
|    535    | Network Timeout |
|    536    |   Power State   |
|    540    | Network Timeout |
|    541    |  Engine Status  |
|    544    |   Power State   |
|    545    | Network Timeout |
|    550    | Network Timeout |
|    551    |  Engine Status  |
|    552    |   Power State   |
|    555    | Network Timeout |
|    560    | Network Timeout |
|    561    |   Power State   |
|    562    |  Engine Status  |
|    565    | Network Timeout |
|    568    |   Power State   |
|    570    | Network Timeout |
|    571    |  Engine Status  |
|    575    | Network Timeout |
|    576    |   Power State   |
|    580    | Network Timeout |
|    581    |  Engine Status  |
|    584    |   Power State   |
|    585    | Network Timeout |
|    590    | Network Timeout |
|    591    |  Engine Status  |
|    592    |   Power State   |
|    595    | Network Timeout |
|    600    | Network Timeout |
|    601    |   Power State   |
|    602    |  Engine Status  |
|    605    | Network Timeout |
|    608    |   Power State   |
|    610    | Network Timeout |
|    611    |  Engine Status  |
|    615    | Network Timeout |
|    616    |   Power State   |
|    620    | Network Timeout |
|    621    |  Engine Status  |
|    624    |   Power State   |
|    625    | Network Timeout |
|    630    | Network Timeout |
|    631    |  Engine Status  |
|    632    |   Power State   |
|    635    | Network Timeout |
|    640    | Network Timeout |
|    641    |   Power State   |
|    642    |  Engine Status  |
|    645    | Network Timeout |
|    648    |   Power State   |
|    650    | Network Timeout |
|    651    |  Engine Status  |
|    655    | Network Timeout |
|    656    |   Power State   |
|    660    | Network Timeout |
|    661    |  Engine Status  |
|    664    |   Power State   |
|    665    | Network Timeout |
|    670    | Network Timeout |
|    671    |  Engine Status  |
|    672    |   Power State   |
|    675    | Network Timeout |
